sportnik,drzava,kvota
Adriano Malori,ITA,21.00
Taylor Phinney,USA,21.00
Rigoberto Uran,COL,26.00
Jonathan Castroviejo Nicolas,ESP,26.00
Jerome Coppel,FRA,26.00
Alex Dowsett,GBR,34.00
Nelson Oliveira,POR,34.00
Maciej Bodnar,POL,51.00
Matthias Brandle,AUT,51.00
Wilco Kelderman,NED,51.00
Jan Barta,CZE,51.00
Luke Durbridge,AUS,67.00
Ilnur Zakarin,RUS,67.00
Dorothea Wierer,ITA,3.25
Marie Dorin Habert,FRA,4.25
Olga Podchufarova,RUS,4.75
Gabriela Soukalova,CZE,5.50
Olena Pidhrushna,UKR,13.00
Anais Bescond,FRA,17.00
Karin Oberhofer,ITA,21.00
Kaisa Makarainen,FIN,21.00
Ekaterina Yurlova,RUS,21.00
Tiril Eckhoff,NOR,21.00
Franziska Hildebrand,GER,26.00
Veronika Vitkova,CZE,34.00
Miriam Goessner,GER,41.00
Yuliia Dzhima,UKR,67.00
Marte Olsbu,NOR,101.00
Magdalena Gwizdon,POL,201.00
Monika Hojnisz,POL,201.00
Justine Braisaz,FRA,201.00
Valj Semerenko,UKR,201.00
Selina Gasparin,SUI,201.00
BC Khimki Moscow,RUS,1.30
Brose Baskets Bamberg,GER,3.40
Zalgiris,LTU,2.45
Olympiakos Piraeus,GRE,1.53
Darussafaka,TUR,3.10
Fenerbahce,TUR,1.36
Red Star Belgrade,SRB,1.65
Unicaja Malaga,ESP,2.20
BC Khimki Moscow,RUS,1.30
Brose Baskets Bamberg,GER,3.40
Zalgiris,LTU,2.45
Olympiakos Piraeus,GRE,1.53
Darussafaka,TUR,3.10
Fenerbahce,TUR,1.36
Red Star Belgrade,SRB,1.65
Unicaja Malaga,ESP,2.20
Krasny Oktyabr Volgograd,RUS,6.75
BC Zenit Saint Petersburg,RUS,1.07
Robert Thornton,SCO,2.65
Dave Chisnall,ENG,1.42
James Wade,ENG,1.40
Terry Jenkins,ENG,2.70
Peter Wright,SCO,1.42
Ian White,ENG,2.65
Michael Smith,ENG,1.85
Raymond van Barneveld,NED,1.85
Adrian Lewis,ENG,1.30
Kim Huybrechts,BEL,3.20
Phil Taylor,ENG,1.40
Jelle Klaasen,NED,2.70
Gary Anderson,SCO,1.15
Vincent van der Voort,NED,4.75
Michael van Gerwen,NED,1.15
Stephen Bunting,ENG,4.75
Milos Raonic,CAN,1.22
Viktor Troicki,SRB,4.33
Feliciano Lopez,ESP,2.65
John Isner,USA,1.48
David Ferrer,ESP,1.16
Steve Johnson,USA,5.00
Lukas Rosol,CZE,8.00
Stan Wawrinka,SUI,1.07
Dudi Sela,ISR,2.60
Andrey Kuznetsov,RUS,1.48
Joao Sousa,POR,16.00
Andy Murray,GBR,1.01
Bernard Tomic,AUS,1.14
John Millman,AUS,5.50
Barbora Strycova,CZE,5.00
Garbine Muguruza,ESP,1.16
Ekaterina Makarova,RUS,1.87
Karolina Pliskova,CZE,1.91
Laura Siegemund,GER,2.30
Annika Beck,GER,1.60
Angelique Kerber,GER,1.07
Madison Brengle,USA,8.00
Nadia Podoroska,ARG,2.10
Beatriz Haddad Maia,BRA,1.60
Jil Teichmann,SUI,2.75
Sorana Cirstea,ROU,1.36
Montserrat Gonzalez,PAR,1.75
Karolina Muchova,CZE,1.90
Cristina Dinu,ROU,1.53
Indy De Vroome,NED,2.25
Shelby Rogers,USA,1.72
Nicole Vaidisova,CZE,1.91
Jesika Maleckova,CZE,1.87
Kristie Ahn,USA,1.78
Andreas Beck,GER,1.13
Vincent Jaensch-Mueller,GER,4.75
Robin Kern,GER,2.20
Mats Moraing,GER,1.55
Maciej Rajski,POL,1.60
Peter Nagy,HUN,2.10
Wil Spencer,USA,2.80
Sekou Bangoura,USA,1.34
Antal Van Der Duim,NED,2.60
Yann Marti,SUI,1.40
Peter Torebko,GER,2.50
Ruben Ramirez Hidalgo,ESP,1.45
Gastao Elias,POR,1.72
Facundo Bagnis,ARG,1.95
Guilherme Clezar,BRA,1.57
Andrej Martin,SVK,2.20
Facundo Arguello,ARG,1.83
Thiago Monteiro,BRA,1.85
Barbora Strycova,CZE,5.00
Garbine Muguruza,ESP,1.16
Ekaterina Makarova,RUS,1.87
Karolina Pliskova,CZE,1.91
Johanna Konta,GBR,1.55
Denisa Allertova,CZE,2.40
Laura Siegemund,GER,2.30
Annika Beck,GER,1.60
Marc Marquez,ESP/Honda,2.10
Jorge Lorenzo,ESP/Yamaha,3.20
Valentino Rossi,ITA/Yamaha,6.50
Daniel Pedrosa,ESP/Honda,8.00
Andrea Iannone,ITA/Ducati,29.00
Andrea Dovizioso,ITA/Ducati,34.00
Bradley Smith,GBR/Yamaha,51.00
Tito Rabat,ESP/Honda,51.00
Aleix Espargaro,ESP/Suzuki,67.00
Pol Espargaro,ESP/Yamaha,67.00
Scott Redding,GBR/Ducati,81.00
Maverick Vinales,ESP/Suzuki,81.00
Cal Crutchlow,GBR/Honda,101.00
Jack Miller,AUS/Honda,201.00
Stefan Bradl,GER/Aprilia,301.00
Loris Baz,FRA/Ducati,301.00
Alvaro Bautista,ESP/Aprilia,301.00
Danilo Petrucci,ITA/Ducati,301.00
Yonny Hernandez,COL/Ducati,751.00
Hector Barbera,ESP/Ducati,1001.00
Eugene Laverty,IRL/Ducati,1001.00
Alex de Angelis,RSM/ART,1001.00
Tai Woffinden,GBR,3.00
Greg Hancock,USA,8.00
Nicki Pedersen,DEN,8.50
Bartosz Zmarzlik,POL,10.00
Peter Kildemand,DEN,11.00
Niels Kristian Iversen,DEN,13.00
Jason Doyle,AUS,15.00
Maciej Janowski,POL,15.00
Piotr Pawlicki,POL,17.00
Jaroslaw Hampel,POL,17.00
Matej Zagar,SLO,19.00
Chris Holder,AUS,21.00
Andreas Jonsson,SWE,26.00
Antonio Lindback,SWE,26.00
Chris Harris,GBR,81.00
Henrik Kristoffersen,NOR,1.90
Marcel Hirscher,AUT,3.75
Henrik Kristoffersen,NOR,1.90
Marcel Hirscher,AUT,3.75
Giuliano Razzoli,ITA,13.00
Felix Neureuther,GER,21.00
Alexander Khoroshilov,RUS,17.00
Stefano Gross,ITA,17.00
Alexis Pinturault,FRA,23.00
Manuel Feller,AUT,31.00
Fritz Dopfer,GER,34.00
Mattias Hargin,SWE,51.00
Jean-Baptiste Grange,FRA,51.00
Jens Byggmark,SWE,51.00
Julien Lizeroux,FRA,67.00
Daniel Yule,SUI,67.00
Sebastian Foss-Solevaag,NOR,67.00
Marco Schwarz,AUT,67.00
Henrik Kristoffersen,NOR,1.90
Henrik Kristoffersen,NOR,1.90
Marcel Hirscher,AUT,3.75
Giuliano Razzoli,ITA,13.00
Alexander Khoroshilov,RUS,17.00
Stefano Gross,ITA,17.00
Felix Neureuther,GER,21.00
Alexis Pinturault,FRA,21.00
Manuel Feller,AUT,31.00
Fritz Dopfer,GER,34.00
Mattias Hargin,SWE,51.00
Jean-Baptiste Grange,FRA,51.00
Jens Byggmark,SWE,51.00
Luca Aerni,SUI,67.00
Marco Schwarz,AUT,67.00
Julien Lizeroux,FRA,67.00
Daniel Yule,SUI,67.00
Sebastian Foss-Solevaag,NOR,67.00
Andre Myhrer,SWE,81.00
Victor Muffat Jeandet,FRA,101.00
Riccardo Tonetti,ITA,151.00
Manfred Moelgg,ITA,151.00
Ramon Zenhaeusern,SUI,151.00
Patrick Thaler,ITA,151.00
Marc Digruber,AUT,151.00
Thomas Mermillod Blondin,FRA,151.00
Qatar,U23,1.44
Korea DPR,U23,6.50
FK Dukla Praha,U21,5.00
Fortuna D&#252;sseldorf,U19,3.80
VfL Wolfsburg,U19,1.62
SK Sturm Graz,Amateurs,1.53
Qatar,U23,1.44
Korea DPR,U23,6.50
Queretaro,U20,1.28
Dorados de Sinaola,U20,7.75
RSC Anderlecht,U21,3.00
Standard de Liege,U21,1.83
Benfica,B,2.10
Peter Prevc,SLO,1.60
Kenneth Gangnes,NOR,5.50
Stefan Kraft,AUT,7.50
Johann A. Forfang,NOR,15.00
Michael Hayboeck,AUT,15.00
Kamil Stoch,POL,15.00
Anders Fannemel,NOR,21.00
Noriaki Kasai,JPN,34.00
Domen Prevc,SLO,34.00
Daniel-Andre Tande,NOR,51.00
Richard Freitag,GER,51.00
Andreas Wellinger,GER,51.00
Roman Koudelka,CZE,67.00
Robert Kranjec,SLO,67.00
Simon Ammann,SUI,67.00
Stefan Hula,POL,101.00
Manuel Fettner,AUT,101.00
Jurij Tepes,SLO,101.00
Andreas Stjernen,NOR,101.00
Andreas Wank,GER,101.00
Hampus Soderland,SWE,7.35
Ping Li,QAT,1.07
Mihai Bobocica,ITA,1.28
Marton Szita,HUN,3.46
Quentin Robinot,FRA,2.56
Jens Lundqvist,SWE,1.47
Hung Chieh Chiang,TPE,1.40
Cedric Nuytinck,BEL,2.81
Zoran Primorac,CRO,1.57
Cheng-Ting Liao,TPE,2.30
Benedikt Duda,GER,2.89
Man Ho Kwan,HKG,1.38
Marcos Madrid,MEX,3.55
Dmitrij Prokopcov,CZE,1.25
Antoine Hachard,FRA,1.70
Alvaro Robles,ESP,2.07
Jonghoon Lim,KOR,2.15
Lubomir Jancarik,CZE,1.65
El-Sayed Lashin,EGY,2.56
Daniel Gorak,POL,1.47
Chien-An Chen,TPE,1.08
Mohamed El-Beiali,EGY,6.90
Jiri Vrablik,CZE,2.35
Alexey Liventsov,RUS,1.55
Lei Kou,UKR,1.35
Vasily Lakeev,RUS,3.03
Kaii Yoshida,Grudziazd,2.15
Tiago Apolonia ,Saarbr&#252;cken,1.65
Kaii Yoshida,Grudziazd,1.47
Bojan Tokic,Saarbr&#252;cken,2.56
Yang Wang,Grudziazd,2.63
Tiago Apolonia ,Saarbr&#252;cken,1.45
Yang Wang,Grudziazd,1.50
Bojan Tokic,Saarbr&#252;cken,2.48
Yaroslaw Zhmudenko,Grudziazd,2.63
Adrien Mattenet,Saarbrucken,1.45
Per Geraell,Chartres,1.35
Mattias Oversjo,Eslov,3.03
Robert Gardos,Chartres,1.30
Robert Svensson,Esl&#246;v,3.32
Robert Gardos,Chartres,2.81
Hui Xu,Esl&#246;v,1.40
Ning Gao,Chartres,1.25
Robert Svensson,Esl&#246;v,3.70
Ning Gao,Chartres,2.30
Hui Xu,Esl&#246;v,1.57
Marcos Freitas,Pontoise,1.70
Timo Boll,D&#252;sseldorf,2.07
Marcos Freitas,Pontoise,1.35
Panagiotis Gionis,Dusseldorf,3.03
Kristian Karlsson,Pontoise,3.46
Timo Boll,D&#252;sseldorf,1.28
Kristian Karlsson,Pontoise,1.87
Panagiotis Gionis,Dusseldorf,1.87
Jian Jun Wang,Pontoise,1.80
Sharath Kamal Achanta,D&#252;sseldorf,1.94
Tiago Apolonia ,Saarbr&#252;cken,3.03
Timo Boll,D&#252;sseldorf,1.35
Tiago Apolonia ,Saarbr&#252;cken,2.15
Panagiotis Gionis,Dusseldorf,1.65
Bojan Tokic,Saarbr&#252;cken,7.35
Timo Boll,D&#252;sseldorf,1.07
Bojan Tokic,Saarbr&#252;cken,2.81
Panagiotis Gionis,Dusseldorf,1.40
Adrien Mattenet,Saarbrucken,2.24
Patrick Franziska,Dusseldorf,1.60
Kirill Skachkov,Bremen,1.60
Lars Hielscher,Muhlhausen,2.24
Samuel Walker,Grunwettersbach,3.70
Hugo Calderano,Ochsenhausen,1.25
Bastian Steger,Bremen,1.45
Ovidiu Ionescu,Muhlhausen,2.60
Kirill Skachkov,Bremen,1.70
Ovidiu Ionescu,Muhlhausen,2.07
Constantin Cioti,Bremen,1.35
Bohumil Vozicky,Muhlhausen,3.03
Bastian Steger,Bremen,1.28
Lars Hielscher,Muhlhausen,3.46
Alvaro Robles,Grunwettersbach,4.22
Simon Gauzy,Ochsenhausen,1.20
Cedric Nuytinck,Hagen,2.15
Benedikt Duda,Bergneustadt,1.65
Joao Geraldo,Grunwettersbach,2.89
Simon Gauzy,Ochsenhausen,1.38
Alvaro Robles,Grunwettersbach,3.46
Liam Pitchford,Ochsenhausen,1.28
Xi Wang,Fulda,1.70
Andrej Gacina,Grenzau,2.07
Xi Wang,Fulda,1.53
Masaki Yoshida,Grenzau,2.40
Ruwen Filus,Fulda,1.87
Masaki Yoshida,Grenzau,1.87
Jonathan Groth,Fulda,1.25
Liang Qiu,Grenzau,3.70
Ruwen Filus,Fulda,2.35
Andrej Gacina,Grenzau,1.55
Cedric Nuytinck,Hagen,2.89
Steffen Mengel,Bergneustadt,1.38
Anton Kallberg,Hagen,1.75
Steffen Mengel,Bergneustadt,2.00
Borna Kovac,Hagen,5.65
Ricardo Walther,Bergneustadt,1.12
Joao Geraldo,Grunwettersbach,2.73
Liam Pitchford,Ochsenhausen,1.42
Anton Kallberg,Hagen,1.57
Benedikt Duda,Bergneustadt,2.30
Paul Drinkhall,Boulogne,1.87
Dmitrij Prokopcov,Hennebont,1.87
Zhai Chao,Boulogne,1.22
Dmitrij Prokopcov,Hennebont,4.00
Emmanuel Lebesson,Boulogne,1.65
Kalinikos Kreanga,Hennebont,2.15
Emmanuel Lebesson,Boulogne,3.32
Koki Niwa,Hennebont,1.30
Paul Drinkhall,Boulogne,1.60
Kalinikos Kreanga,Hennebont,2.24
Zhai Chao,Boulogne,1.94
Koki Niwa,Hennebont,1.80
Patrick Baum,Caen,1.57
Par Gerell,Chartres,2.30
Romain Lorentz,Caen,3.46
Robert Gardos,Chartres,1.28
Romain Lorentz,Caen,3.55
Ning Gao,Chartres,1.27
Jakub Kleprlik,Caen,4.64
Par Gerell,Chartres,1.17
Patrick Baum,Caen,2.35
Ning Gao,Chartres,1.55
Jakub Kleprlik,Caen,4.95
Robert Gardos,Chartres,1.15
Hillary Clinton,Dem,1.85
Donald Trump,Rep,4.00
Marco Rubio,Rep,7.00
Bernie Sanders,Dem,7.00
Ted Cruz,Rep,13.00
Jeb Bush,Rep,23.00
Chris Christie,Rep,51.00
John Kasich,Rep,126.00
Elizabeth Warren,Dem,201.00
Ben Carson,Rep,201.00
Carly Fiorina,Rep,201.00
Rand Paul,Rep,301.00
Paul Ryan,Rep,301.00
Mike Huckabee,Rep,301.00
